trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
310,False,"{'a': 0.6, 'e': 0.04550195440462157}",25,3,34.82214418476298,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.6, 'e': 0.0450492023935578}",35,1,26.406004887163707,"{0: 33, 1: 0, 2: 0, 3: 1, 4: 0}",1
312,False,"{'a': 0.6, 'e': 0.044600955340274535}",20,0,27.87179795160345,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
313,False,"{'a': 0.6, 'e': 0.04415716841969286}",30,18,19.19478690608603,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.6, 'e': 0.04371779725275094}",25,0,37.710400863109456,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
315,False,"{'a': 0.6, 'e': 0.043282797901965896}",25,0,36.45697860750495,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
316,False,"{'a': 0.6, 'e': 0.04285212686704019}",20,0,17.134832159313664,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
317,False,"{'a': 0.6, 'e': 0.042425741080511385}",25,0,39.74393731532119,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
318,False,"{'a': 0.6, 'e': 0.04200359790344555}",25,10,15.811978382789468,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
319,False,"{'a': 0.6, 'e': 0.04158565512117316}",20,10,20.636340611734717,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.6, 'e': 0.04117187093906774}",20,0,31.728711303583744,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
